id,uri,siglaTipo,codTipo,numero,ano,ementa,dataApresentacao
2345697,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345697,PLP,140,9,2023,"Altera os arts.  5º e 9º da Lei Complementar nº 141, de 13 de janeiro de 2012 que dispõe sobre os valores mínimos a serem aplicados anualmente pela União, Estados, Distrito Federal e Municípios em ações e serviços públicos de saúde.",2023-02-02T09:42
2345698,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345698,PL,139,39,2023,"Altera o art. 170-A da Lei nº 5.172, de 25 de outubro de 1966 (Código Tributário Nacional), para permitir a compensação de créditos tributários objeto de decisões com força vinculante firmadas em repercussão geral pelo Supremo Tribunal Federal ou recurso especial repetitivo pelo Superior Tribunal de Justiça.",2023-02-02T09:08
2345701,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345701,PL,139,40,2023,"Acrescenta § 4º ao art. 16 da Lei nº 6.830/1980, para dispensar a exigência de garantia integral do crédito para o recebimento dos embargos à execução fiscal.",2023-02-02T09:08
2345702,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345702,PL,139,41,2023,"Acrescenta parágrafo ao art. 1º da Lei nº 7.433, de 18 de dezembro de 1985, que dispõe sobre os requisitos para a lavratura de escrituras públicas, para vedar a exigência de certidões fiscais de outra natureza na qualificação registral.",2023-02-02T09:08
2345704,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345704,PL,139,42,2023,"Acrescenta § 2º ao art. 1.241 da Lei nº 10.046, de 10 de janeiro de 2002 (Código Civil), para prever expressamente a possibilidade de usucapião familiar.",2023-02-02T09:08
2345705,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345705,PL,139,43,2023,"Altera o art. 134 da Lei nº 5.172, de 25 de outubro de 1966 (Código Tributário Nacional), para instituir a subsidiariedade de terceiros para cumprimento da obrigação principal.",2023-02-02T09:08
2345706,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345706,PL,139,44,2023,"Modifica a redação do inciso VI, do Art. 35, da Lei 9.250, de 26 de dezembro de 1995, para alterar a Legislação do Imposto de Renda no que tange à inclusão do ascendente como dependente do contribuinte.",2023-02-02T09:09
2345707,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345707,PL,139,45,2023,"Altera o art. 1.589 da Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil), para permitir a convivência dos menores com pessoas com as quais possuem vínculo afetivo.",2023-02-02T09:09
2345710,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345710,PL,139,46,2023,"Altera o Decreto-Lei nº 986, de 21 de outubro de 1969, que institui normas básicas sobre alimentos, para dispor sobre limites máximos de gorduras, açúcares e sódio nos alimentos industrializados.",2023-02-02T09:09
2345712,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345712,PL,139,47,2023,"Acrescenta §2º e §3º ao art. 156 do Decreto-Lei nº 3.689, de 3 de outubro de 1941 (Código de Processo Penal) para estabelecer a obrigatoriedade de o Ministério Público buscar a verdade dos fatos também a favor do indiciado ou acusado.",2023-02-02T09:09
2345713,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345713,PL,139,48,2023,"Acrescenta os §§ 1º e 2º ao art. 1.702 da Lei nº 10.046, de 10 de janeiro de 2002 (Código Civil), para prever a possibilidade de arbitramento de alimentos compensatórios.",2023-02-02T09:09
2345714,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2345714,PL,139,49,2023,"Altera o art. 15 da Lei nº 13.105, de 16 de março de 2015 (Código de Processo Civil), para possibilitar a aplicação supletiva e subsidiária do Código de Processo Civil ao Processo Penal.",2023-02-02T09:09
